identifier,longname,status,capacity,free,open_time,close_time,timestamp,tendenz,id,title,slug,zip,city,district,street,housenumber,Datum1,womens_parking,price,phone,open,extra_info,entry_height,entry_width,capacity_brutto,volltext,notice,has_livedata,data_source,owner_url,category,last_edit,lat,lng,data_age
D_P001,LANXESS arena 1,1,1748,1374,00:00,,2022-09-02 11:18:46,0,11,Lanxess-Arena P1,lanxessarena_1,50679,Köln,,Willy-Brandt-Platz,3,2010-02-04,,"1,30 € / 12,00 €",0221/8875545,durchgehend,"Arenatarif: 5,50 €",1.90,0.00,1748,"Kölnarena 1 2568818.01 5645400.24 50679 Köln Willy-Brandt-Platz 3 2010-02-04 1,00 € / 10,20 € 0221/8875545 durchgehend Arenatarif:              4 € 1.90 0.00 1748.00 Deutz/Kalk 1 ",,1,Parkleitsystem,,Deutz/Kalk,2017-11-28 15:07:19,50.93927181,6.98351494,494
D_P002,LANXESS arena 2,1,266,40,00:00,,2022-09-02 11:18:14,0,12,Lanxess-Arena P2,lanxessarena_2,50679,Köln,,Willy-Brandt-Platz,3,2010-02-04,,"1,30 € / 12,00 €",0221/8875545,durchgehend,"Arenatarif: 5,50 €",1.90,0.00,266,"Kölnarena 2 2568853.28 5645394.17 50679 Köln Willy-Brandt-Platz 3 2010-02-04 1,00 € / 10,20 € 0221/8875545 durchgehend Arenatarif:              4 € 1.90 0.00 266.00 Deutz/Kalk 1 ",,1,Parkleitsystem,,Deutz/Kalk,2017-11-28 15:07:53,50.93897434,6.97960964,526
D_P003,,1,634,634,00:00,,2022-09-02 11:18:27,0,13,Lanxess-Arena P3,lanxessarena_3,50679,Köln,,Willy-Brandt-Platz,3,2010-02-04,,,0221/8875545,bei Veranstaltungen,für VIP-Gäste,1.90,0.00,364,Kölnarena 3 2569023.74 5645200.98 50679 Köln Willy-Brandt-Platz 3 2010-02-04 0221/8875545 bei Veranstaltungen für VIP-Gäste 1.90 0.00 364.00 Deutz/Kalk 1 ,,1,Parkleitsystem,,Deutz/Kalk,2017-11-28 15:08:15,50.93897434,6.97960964,513
D_P004,LANXESS arena 4,1,309,183,00:00,,2022-09-02 11:18:43,0,14,Lanxess-Arena P4,lanxessarena_4,50679,Köln,,Willy-Brandt-Platz,3,2010-02-04,,"1,30 € / 12,00 €",0221/8875545,durchgehend,"Arenatarif: 5,50 €",1.90,0.00,318,"Kölnarena 4 2569325.73 5645218.27 50679 Köln Willy-Brandt-Platz 3 2010-02-04 1,00 € / 10,20 € 0221/8875545 durchgehend Arenatarif:              4 € 1.90 0.00 318.00 Deutz/Kalk 1 ",,1,Parkleitsystem,,Deutz/Kalk,2017-11-28 15:08:35,50.93921773,6.98591819,497
PH04,Brückenstraße,1,520,346,00:00,,2022-09-02 11:18:31,0,16,Brückenstraße,brueckenstrasse,50667,Köln,,Ludwigstraße,1,2010-02-04,70,"2,20 € / 22 €",0221/2577500,durchgehend,"Abendtarif: 20h - 8h 1,20 € / Std.",1.90,2.50,720,"Brückenstraße 2567156.09 5645043.13 50667 Köln Ludwigstr 1 2010-02-04 70 1,70 € / 17 € 0221/2577500 durchgehend Abendtarif: 20h - 8h 1,00 € / Std. 1.90 2.50 600.00 Neumarkt 1 ",,1,Parkleitsystem,,Neumarkt,2016-03-14 11:43:16,50.93750000,6.95482000,509
PH34,,0,0,0,00:00,,2021-08-10 15:00:56,-1,17,Brück/Mauspfad,brueck_mauspfad,50119,Köln,,Brücker Mauspfad,0,2010-02-04,,"2,50 € / Tag",,"Mo - Fr    6h - 22h
Sa          7h - 17h
",frei für KVB - Kunden,0.00,0.00,357,"Brück/Mauspfad 2575819.99 5646448.13 50119 Köln Brücker Mauspfad 2010-02-04 2,50 € / Tag Mo - Fr    6h - 22h
Sa          7h - 17h
 frei für KVB - Kunden 0.00 0.00 357.00 P+R 1 ",,1,Parkleitsystem,,P+R,2010-10-27 11:20:07,50.94134300,7.08506400,33510364
PH17,Am Neumarkt,1,200,195,00:00,,2022-09-02 11:18:33,0,18,Am Neumarkt,am_neumarkt,50676,Köln,,Lungengasse,35,2010-02-04,56,"2,00 € / 20 €",0221/3469850,Mo-So   7h - 24h,,2.00,2.70,329,"Am Neumarkt 2566549.72 5644832.82 50676 Köln Lungengasse 35 2010-02-04 56 1,70 € / 18 € 0221/3469850 Mo-So   7h - 24h 2.00 2.70 329.00 Neumarkt 1 ",,1,Parkleitsystem,,Neumarkt,2016-06-20 15:19:47,50.93490000,6.94720000,507
PH32,Zoo/Flora,0,0,0,06:00,,2021-10-14 08:39:56,-1,19,Zoo (*),zoo,50735,Köln,,Riehler Str.,190,2006-12-08,,"0,90 / 8,60 EUR",0221/769337,"Montag bis Freitag 06:00 - 22:00
Samstag / Sonntag 09:00 - 18:30
","Tagespauschale 8,60 €

(Hinweis: 
Seit 1.3.2014 KEINE   P+R-Konditionen in diesem Parkhaus)",1.90,0.00,392,,Dieses Parkhaus ist nicht ans Parkleitsystem angeschlossen. Wir können deshalb keine Livedaten anzeigen. Das Parkhaus kann aber trotzdem  zu den genannten Zeiten genutzt werden.,0,-,http://www.contipark.de/de-DE/find-parking/koeln-parkhaus-am-zoo-p-r/,Dom/Rhein,2016-12-27 19:14:32,50.95830000,6.97609000,27917224
PH19,Gürzenich,1,213,179,07:00,,2022-09-02 11:18:31,0,20,Gürzenich,guerzenich,50667,Köln,,Quatermarkt,5,2006-12-20, 6,"2,40 € / 20 €",0221/2576898,"Mo. - Do. 07:00 - 22:00 Uhr, 
Fr. 07:00 - 00:00, 
Sa. durchgehend geöffnet, 
So. 00:00 - 22:00 Uhr, 
Feiertags geschlossen
",Monatskarte ab 154 € ,1.80,2.20,315,"Gürzenich 256735.00 5645025.89 50667 Köln Quatermarkt 2006-12-20  6 1,50 € / 15 € 0221/2576898 Mo-Do: 07h-24h
Fr, Sa bis So 6h :durchgehend  Wochenkarte 38 €
Monatskarte 137,50 €  1.80 2.20 315.00 Dom/Rhein 1 ",,1,Parkleitsystem,,Dom/Rhein,2017-11-29 08:40:07,50.93702820,6.95801249,509
PH33,Mediapark,1,272,296,00:00,,2022-09-02 11:18:30,0,21,Mediapark,mediapark,50670,Köln,,Maybachstraße,1,2006-12-20,,"1,50 € / 15 €

Kinotarif (pauschal 2,00 € für 4 Stunden):
Mo. - Fr. 18.30 - 23.30 Uhr
Sa. 13.30 - 23.30 Uhr
So. 10.30 - 23.30 Uhr",0711 / 305 70 305,durchgehend,Preis f. Dauerparker ab 100 €/Monat,1.90,0.00,1186,"Mediapark 2566306.24 5646139.39 50670 Köln Maybachstraße 2006-12-20 1,50 € / 15 € 0221/529428 durchgehend Dauerkarte von 5h bis 19 h: 95,20 €
Dauerkarte durchgehend 119 € 1.90 0.00 1186.00 Ringe 1 ",,1,Parkleitsystem,,Ringe,2021-06-29 09:50:39,50.94736000,6.94505000,510
D_P006,Köln Arcaden,1,1700,527,00:00,,2022-09-02 11:18:24,0,22,Köln Arcaden,koeln_arcaden,51103,Köln,,Kalker Hauptstraße,55,2006-12-08,,"Pro Stunde 1 Euro, Maximalpreis ohne Tagesticket 10 Euro; spezielles Tagesticket 3 Euro",0221-992030,durchgehend geöffnet,"bei Fragen wenden Sie sich bitte an folgende Rufnummer:
0221-992030",0.00,0.00,1796,"Köln Arcaden 2570018.10 5645293.97 51103 Köln Kalker Hauptstraße 55 2006-12-08 0221/35505661 bei Fragen wenden Sie sich bitte an folgende Rufnummer:
0221 / 35505661 0.00 0.00 1800.00 Deutz/Kalk 1 ",,1,Parkleitsystem,,Deutz/Kalk,2018-05-30 14:14:37,50.93791000,6.99790000,516
PH15,Opernpassagen,1,0,0,00:00,,2022-08-31 15:22:57,0,23,Opern Passagen,opern_passagen,50667,Köln,,Schwertnergasse,1,2006-12-15,32,"2,00 € / 10 €",0221-42079952,durchgehend,"Theatertarif:
Mo - Sa:  16h-24h         4,50€
sonn- und feiertags:       4,50€ ",2.20,2.85,550,"Opern Passagen 2566974.84 5645264.62 50667 Köln Schwertnergasse 1 2006-12-15 32 1,60 € / 16 € 0221-258 0171 durchgehend Sondertarif:
Mo - Sa:  18h-24h         4,50€
sonn- und feiertags:       4,50€  2.30 2.85 562.00 Neumarkt 1 ",,1,Parkleitsystem,,Neumarkt,2014-05-09 09:08:11,50.93868420,6.95237190,158643
W_P08o,Stadion P8 Bus - nur bei Veranstaltungen geöffnet,1,40,40,00:00,,2022-09-02 11:18:40,0,24,Stadion P8 Bus,stadion_p8_bus,50933,Köln,,Salzburger Weg,0,2008-11-12,,,,.,Außerhalb von Großveranstaltungen öffentlich ohne Gebühren Nutzbar - bei Veranstaltungen nur mit Sonderausweis.,0.00,0.00,80,Stadion P8 Bus/PKW 2561057.27 5643886.28 50933 Köln Salzburger Weg 2007-02-12 . Außerhalb von Großveranstaltungen öffentlich ohne Gebühren Nutzbar - bei Veranstaltungen nur mit Sonderausweis. 0.00 0.00 500.00 Stadion 1 ,,1,Parkleitsystem,,Stadion,2010-11-03 15:44:42,50.92378721,6.86854473,500
PH12,Hohe Straße,1,217,11,00:00,,2022-09-02 11:18:50,0,25,Hohe Straße,hohe_strasse,50667,Köln,,Marspfortengasse,10,2006-12-15,9,"Je angefangene Stunde 2,00€
",,"Montag bis Sonntag und Feiertags, durchgehend geöffnet
","24 Stunden 15,-€ / 
Verlorenes Ticket 20,-€",2.00,0.00,280,"Hohe Straße 2567298.69 5645298.40 50667 Köln Marspfortengasse 2006-12-15 9 1,30 € / 11,70 € 0221/2578288 durchgehend Abendtarif 20h-8h 1 € / Std
Tagesticket 9 € für 10 Stunden
 2.00 0.00 280.00 Dom/Rhein 1 ",,1,Parkleitsystem,,Dom/Rhein,2018-04-24 10:37:00,50.93909000,6.95695000,490
PH24,Wolfsstraße,1,335,118,00:00,,2022-09-02 11:18:30,0,26,Wolfsstraße,wolfstrasse,50667,Köln,,Wolfsstraße,6,2006-12-15,15,"1,70 € / 17 €",0221/2578907,durchgehend,"Abendtarif: 20h-8h 1 € / Std.
Tagesticket 12 €  für 10 Std.
Verlorenes Ticket: 18 € 
Wertkarten mit Rabatt erhältlich",2.00,0.00,380,"Wolfsstraße 2566638.09 5645158.01 50667 Köln Wolfsstraße 6 2006-12-15 15 1,30 € / 11,70 € 0221/2578907 durchgehend Abendtarif: 20h-8h 1 € / Std
Tagesticket 9 €  für 10Std  2.00 0.00 380.00 Neumarkt 1 ",,1,Parkleitsystem,,Neumarkt,2016-12-13 15:58:57,50.93788970,6.94686040,510
PH26,Quincy,1,363,178,07:00,,2022-09-02 11:18:27,2,27,Quincy,quincy,50667,Köln,,Neven-DuMont Straße,80,2008-07-09,23,"Sonntag bis Donnerstag maximal 7 € / Tag. Freitag und Samstag maximal 12 € / Tag
",,"Einfahrt Montag bis Samstag: 7.00 Uhr bis 22.00 Uhr.
Einfahrt Sonntag: 9.00 Uhr bis 18.00 Uhr, außer Feiertage
Ausfahrt rund um die Uhr.",Die Ausfahrt ist 24 Stunden möglich! Außerhalb der Öffnungszeiten ist der Zugang zum Parkhaus nur mit gültigem Parkschein möglich.,2.00,3.00,678,"DuMont Carré 2566842.61 5645305.86 50667 Köln Neven-DuMont Straße 2008-07-09 23 1, 80 € Mo-Sa 07h-24h<br/>
So, Feiert. 09h-24h  2.00 3.00 678.00 Neumarkt 1 ",,1,Parkleitsystem,https://quincy.koeln/anfahrt-parken/,Neumarkt,2022-08-17 14:09:49,50.93930760,6.95053710,513
