identifier,longname,status,capacity,free,open_time,close_time,timestamp,tendenz,id,title,slug,zip,city,district,street,housenumber,Datum1,womens_parking,price,phone,open,extra_info,entry_height,entry_width,capacity_brutto,volltext,notice,has_livedata,data_source,owner_url,category,last_edit,lat,lng,data_age
PH16,Maritim,1,575,287,00:00,,2022-09-02 11:18:30,0,38,Maritim,maritim,50667,Köln,,Heumarkt,20,2007-01-25,ca. 70,"2,40€ / 24€",,durchgehend,"Monatsticket: 12h/85,00 EUR oder 24h/165,00 EUR ",1.90,0.00,600,Maritim 2567484.92 5644896.06 50667 Köln Pipinstraße 7 2007-01-25 ca. 70 2€ / ?€ durchgehend Monatsticket 155 €;  190.00 0.00 600.00 Dom/Rhein 1 ,,1,Parkleitsystem,,Neumarkt,2022-01-03 11:01:23,50.93512730,6.96168175,510
PH25,Bazaar de Cologne,1,139,57,06:00,,2022-09-02 11:18:31,1,39,Bazaar de Cologne,bazaar_de_cologne,50672,Köln,,Große Brinkgasse,5+11,2007-01-25,16,"2,00 €",0221/2570054,"Mo - Fr 6h - 2h
Sa, So 8h - 2h","ab 20h 1,50 €
Tageshöchsttarif 18 €",2.00,0.00,255,"Bazaar de Cologne 2566394.15 5645130.22 50672 Köln Große Brinkgasse 5 2007-01-25 15 1,80 € 0221/2570054 Mo - Fr 6h - 1h
Sa,So 8h - 1h ab 3. Stunde 1,50 € 
ab 20h 1,30 € 2.00 0.00 280.00 Neumarkt 1 ",,1,Parkleitsystem,,Neumarkt,2015-10-08 10:11:48,50.93759000,6.94396000,509
PH21,Kreissparkasse,1,182,0,06:00,,2022-09-02 11:18:34,0,40,KSK/ Richmodstr,ksk__richmodstr,50667,Köln,,Richmodstr,13,2010-02-04,10,2 € / 15 €, 0221/2272672,"Mo-Fr. 07h30-21h
Sa 07h-20h00
So, Feiertag geschl. ",Für Kunden 1. Stunde frei,1.90,4.00,240,"KSK/ Richmodstr 2566644.10 5645163.64 50667 Köln Richmodstr 13 2010-02-04 10 2 € / 15 €  0221/2272672 Mo-Fr. 07h30-21h
Sa 07h-17h30
So, Feier geschl.  Für Kunden 1. Stunde frei 1.90 4.00 240.00 Neumarkt 1 ",,1,Parkleitsystem,,Neumarkt,2012-03-15 09:50:30,50.93704072,6.94761625,506
PH36,P+R Marsdorf,1,621,527,00:00,,2022-09-02 11:15:46,0,42,Marsdorf P+R,marsdorf_pundr,50858,Köln,,Emmy-Noether-Str,0,2007-02-07,44,2.50 € / Tag,02215470,durchgehend,,2.00,2.50,621,"Marsdorf P+R 2559649.06 5642653.31 50858 Köln Emmy-Noether-Str 2007-02-07 44 2.50 € / Tag 02215470 durchgehend Andere Stellplätze: 25 Wohnwagen, 3 Bus 2.00 2.50 621.00 P+R 1 ",,1,Parkleitsystem,,P+R,2016-11-30 13:55:48,50.91805130,6.85067560,674
W_P001,Stadion P1 - nur bei Veranstaltungen geöffnet,1,600,134,00:00,,2022-09-02 11:18:41,0,43,Stadion P1,stadion_p1,50933,Köln,,Alter Militärring,0,2007-02-12,,"7,00 €",,,,0.00,0.00,550,"Stadion P1 2562181.53 5645335.36 50933 Köln Alter Militärring 2007-02-12 3,50€ /FC , 5.00€/ andere 0.00 0.00 550.00 Stadion 1 ",,1,Parkleitsystem,,Stadion,2016-09-21 13:44:13,50.93970450,6.88433757,499
W_P003,Stadion P3  - nur bei Veranstaltungen geöffnet,1,1000,55,00:00,,2022-09-02 11:18:41,0,44,Stadion P3,stadion_p3,50933,Köln,,Willi-Schwarz-Weg,0,2007-02-12,,"7,00 €",,,,0.00,0.00,1000,"Stadion P3 2561156.50 5645196.10 50933 Köln Willi-Schwarz-Weg 2007-02-12 3,50€ /FC , 5.00€/ andere 0.00 0.00 1000.00 Stadion 1 ",,1,Parkleitsystem,,Stadion,2016-09-21 13:48:16,50.93854166,6.86697832,499
W_P006,Stadion P6 - nur bei Veranstaltungen geöffnet,1,1000,1000,00:00,,2022-09-02 11:18:42,0,46,Stadion P6,stadion_p6,50933,Köln,,Salzburger Weg,0,2007-02-12,,"7,00 €",,,,0.00,0.00,1000,"Stadion P6 2561057.27 5643886.28 50933 Köln Salzburger Weg 2007-02-12 3,50€ /FC , 5.00€/ andere 0.00 0.00 1000.00 Stadion 1 ",,1,Parkleitsystem,,Stadion,2016-09-21 13:48:42,50.92722267,6.86760059,498
W_P007,Stadion P7 - nur bei Veranstaltungen geöffnet,1,1000,876,00:00,,2022-09-02 11:18:43,0,47,Stadion P7,stadion_p7,50933,Köln,,Salzburger Weg,0,2007-02-12,,"7,00 €",,,,0.00,0.00,1000,"Stadion P7 2561057.27 5643886.28 50933 Köln Salzburger Weg 2007-02-12 3,50€ /FC , 5.00€/ andere 0.00 0.00 1000.00 Stadion 1 ",,1,Parkleitsystem,,Stadion,2016-09-21 13:48:59,50.92554555,6.86798683,497
W_P08w,Stadion P8 PKW - nur bei Veranstaltungen geöffnet,0,650,0,00:00,,2022-09-02 11:18:43,-1,48,Stadion P8 PKW,stadion_p8_pkw,50933,Köln,,Salzburger Weg,0,2008-11-12,,,,,Das Parken auf dem Parkplatz P8 ist nur bei Großveranstaltungen erlaubt. ,0.00,0.00,500,Stadion P8 Bus/PKW 2561057.27 5643886.28 50933 Köln Salzburger Weg 2007-02-12 . Außerhalb von Großveranstaltungen öffentlich ohne Gebühren Nutzbar - bei Veranstaltungen nur mit Sonderausweis. 0.00 0.00 500.00 Stadion 1 ,,1,Parkleitsystem,,Stadion,2020-11-26 11:15:53,50.92338143,6.86661354,497
W_P004,Stadion P4 - nur bei Veranstaltungen geöffnet,1,500,196,00:00,,2022-09-02 11:18:41,0,49,Stadion P4,stadion_p4,50933,Köln,,Walter-Binder-Weg,0,2007-02-12,,"7,00 €",,,,0.00,0.00,550,"Stadion P4 2561278.47 5645458.72 50933 Köln Walter-Binder-Weg 2007-02-12 3,50€ /FC , 5.00€/ andere 0.00 0.00 550.00 Stadion 1 ",,1,Parkleitsystem,,Stadion,2016-09-21 13:47:40,50.93904195,6.87300793,499
PH38,Rhein Triadem,1,264,523,00:00,,2022-09-02 11:18:46,0,56,Rhein Triadem,rhein_triadem,50668,Köln,,Am Alten Ufer,35,0000-00-00,,"1,80€ pro Stunde / 
Tageskarte 18 Euro",,,,0.00,0.00,600,,,1,Parkleitsystem,,,2017-11-14 09:13:41,50.94454487,6.96255079,494
PH28,P+R Stadion,1,580,526,00:00,,2022-09-02 11:18:24,0,51,P+R Stadion (P2),pundr_stadion,50933,Köln,Junkersdorf,Aachener Str,1003,0000-00-00,35,"2,50 Euro / Tag",0221 4992273,"Montag-Freitag: 6:00-24:00 Uhr

Samstag: 7:00-21:00 Uhr

Sonntag: 6:00-22:00 Uhr","Park-and-Ride Parkhaus, Parkgebühr entfällt beim Kauf eines ÖPNV-Fahrscheins

",2.00,0.00,560,,,1,Parkleitsystem,,Stadion,2018-03-07 11:28:37,50.93760865,6.87457434,516
PH37-1,Rheinauhafen Museen,1,100,60,00:00,,2022-08-31 15:22:57,-1,53,Rheinauhafen,rheinauhafen,50678,Köln,,Bayenstraße,2,0000-00-00,,"je Stunde 3,30 - 3,50 €
Bereits ab 6 Stunden gilt das Tagesmax. von 45 €

Abend-/Nachttarif (20.00-07.00 Uhr): pauschal 7 €",,Durchgehend geöffnet,,0.00,0.00,0,,,1,Parkleitsystem,,,2020-02-26 12:38:20,50.92534000,6.96539000,158643
PH37-2,Rheinauhafen Bayenturm,1,100,60,00:00,,2022-08-31 15:22:57,-1,54,Rheinauhafen  Einfahrt Nord/Bayenturm,rheinbayent,50678,Köln,,Harry-Blum-Platz,2,0000-00-00,,"0-30 min. 1,20 €
31-60 min. 1,20 €
jede weitere angefangene Stunde 2,40 €

Tagesmax. 24,00 €

Abend-/Nachttarif (20.00-07.00 Uhr): max. 5,00 €

KD-Besucher bis 12 Std: 5,00 €",,Durchgehend geöffnet,"Um in das Parkhaus zu gelangen, muß über die  Rheinufer-Straße in nördlicher Richtung angefahren werden. Eine Zufahrt befindet sich in Höhe Bayenstraße , eine weitere in Höhe Aggripinaufer.

Weitere Infos unter <a href=""http://www.apcoa.de/parken-in/koeln/rheinauhafen.html"" target=""_blank"" rel=""nofollow"">apcoa.de</a>",0.00,0.00,0,,,1,Parkleitsystem,,,2015-07-22 11:46:55,50.92716850,6.96394554,158643
PH37-3,Rheinauhafen Oberländer Wall,1,60,20,00:00,,2022-08-31 15:22:57,-1,55,Rheinauhafen Einfahrt Süd/Oberländer Wall,rhein_oberlw,50678,Köln,,,0,0000-00-00,,"0-30 min. 1,00 €
31-60 min. 1,00 €
jede weitere angefangene Stunde 2,00 €

Tagesmax. 20,00 €

Abend-/Nachttarif (20.00-07.00 Uhr): pauschal 3,00 €

KD-Besucher bis 12 Std: 5,00 €

Museum Besucher bis 5 Std.: 3,00 €",01805 - 903310,Durchgehend geöffnet,,0.00,0.00,0,,,1,Parkleitsystem,,,2014-11-18 16:51:55,50.92074378,6.96883014,158643
PH05,REWE,1,217,99,00:00,,2022-09-02 11:18:46,0,57,REWE City,rewecity,50667,Köln,,Hohe Str.,30a,2014-02-21,,2 € / 15 €,0221/2575533,durchgehend,Zufahrt über Pipinstr./Große Sandkaul ,2.00,2.80,212,"Schildergasse 2566926.89 5644914.99 50667 Köln Cäcilienstraße 32 2008-02-21 50 2,10 € / 15 € 0221/2575533 durchgehend ehemals bekannt unter dem Namen Aral-Parkhaus 2.00 0.00 600.00 Neumarkt 1 ",,1,Parkleitsystem,,Neumarkt,2019-08-12 15:27:50,50.93560000,6.95689000,494
